path,encoding,utf8_valid,bom,mojibake,replacement_character,newline_style,status,detail
1. Instalación de repositorio GitHu.txt,UTF-8,True,False,False,False,CRLF,COMPLIANT,ok
APLICAR_SPB-003.2_PGD_PMO.ps1,UTF-8,True,False,False,False,LF,COMPLIANT,ok
Apply-MMGR001.ps1,UTF-8,True,False,False,False,LF,COMPLIANT,ok
Apply-MMGR001A.ps1,UTF-8,True,False,False,False,LF,COMPLIANT,ok
Apply-SPB0032-B1.3.ps1,UTF-8,True,False,False,False,LF,COMPLIANT,ok
Apply-SPB0032-B1.4.ps1,UTF-8,True,False,False,False,MIXED,COMPLIANT,ok
Apply-SPB0052-TestSuiteAudit.ps1,UTF-8,True,False,False,False,LF,COMPLIANT,ok
Apply-SPB0053-UTF8RepositoryStandard-v1.4.ps1,UTF-8,True,False,False,False,LF,COMPLIANT,ok
CHANGELOG.md,UTF-8,True,False,False,False,LF,COMPLIANT,ok
Collect-SPB0032-B1.3A-Baseline.ps1,UTF-8,True,False,False,False,LF,COMPLIANT,ok
Install-SPB0032RepositoryAuditor.ps1,UTF-8,True,False,False,False,LF,COMPLIANT,ok
INSTRUCCIONES-SPB0032-Auditor.md,UTF-8,True,False,False,False,LF,COMPLIANT,ok
README.md,UTF-8,True,False,False,False,CRLF,COMPLIANT,ok
README_INSTALACION_SPB-003.2_PGD_PMO.md,UTF-8,True,False,False,False,LF,COMPLIANT,ok
Refactor-SPB0032-ModularRepositoryAuditor.ps1,UTF-8,True,False,False,False,LF,COMPLIANT,ok
requirements.txt,UTF-8,True,False,False,False,MIXED,COMPLIANT,ok
Rollback-SPB0032-B1.3.ps1,UTF-8,True,False,False,False,LF,COMPLIANT,ok
Stage-SPB0032-B1.4.ps1,UTF-8,True,False,False,False,CRLF,COMPLIANT,ok
Start-SPB0032-Closure.backup.ps1,UTF-8,True,False,False,False,LF,COMPLIANT,ok
Start-SPB0032-Closure.ps1,UTF-8,True,False,False,False,LF,COMPLIANT,ok
Upgrade-SPB0032-NativeAuditor-AutoClosure.ps1,UTF-8,True,False,False,False,LF,COMPLIANT,ok
Verify-SPB0032-B1.3.ps1,UTF-8,True,False,False,False,LF,COMPLIANT,ok
Verify-SPB0032-B1.4.ps1,UTF-8,True,False,False,False,CRLF,COMPLIANT,ok
