"Code","LogicalCode","Name","Version","Status","Descriptor","CodeValid","VersionSet","StatusSet"
"ADR-010","ADR-010","ADR-010","1.0.0","institutionally_closed","config\media\ADR-010-component.json","True","True","True"
"PCI-001","PCI-001","Auditoría del Índice Maestro","1.0.0","implemented_tested_and_candidate_for_closure","config\governance\PCI-001-component.json","True","True","True"
"PCI-001.1","PCI-001.1","Auditor Inteligente del Índice Maestro","1.0.0","implemented_tested_and_candidate_for_closure","config\governance\PCI-001.1-component.json","True","True","True"
"PCI-001.2","PCI-001.2","Institutional Master Index Synchronizer","1.0.0","implemented_tested_and_candidate_for_closure","config\governance\PCI-001.2-component.json","True","True","True"
"PCI-001.3","PCI-001.3","Institutional Registry Determinizer","1.0.0","implemented_tested_and_candidate_for_closure","config\governance\PCI-001.3-component.json","True","True","True"
"PCI-001.4","PCI-001.4","Institutional Closure Normalizer","1.0.0","implemented_tested_and_candidate_for_closure","config\governance\PCI-001.4-component.json","True","True","True"
"PCI-002","PCI-002","Institutional Consolidation Engine","1.2.1","implemented_tested_and_candidate_for_closure","config\governance\PCI-002-component.json","True","True","True"
"POL-001","POL-001","Uso Preferente de Tecnologías Gratuitas y de Código Abierto","1.0.2","implemented_tested_and_candidate_for_closure","config\policies\POL-001-component.json","True","True","True"
"SGD-114C","SGD-114C","Policy Governance Core","1.0.0","implemented","config\governance\SGD-114C-component.json","True","True","True"
"SGD-114D","SGD-114D","Adaptive Institutional Policy Engine","1.0.0","implemented","config\governance\SGD-114D-component.json","True","True","True"
"SGD-114D-v1.0.1","SGD-114D","Adaptive Release Canonical Resolver","1.0.1","implemented","config\governance\SGD-114D-v1.0.1-component.json","True","True","True"
"SGD-114E","SGD-114E","Native Ecosystem Architecture Policy","1.0.2","implemented","config\governance\SGD-114E-component.json","True","True","True"
"SGD-114E-C1","SGD-114E-C1","Native Ecosystem Validator Fix","1.0.0","implemented","config\governance\SGD-114E-C1-component.json","True","True","True"
"SGD-114E-v1.0.3","SGD-114E","Native Ecosystem Approval Logic Fix","1.0.3","implemented","config\governance\SGD-114E-v1.0.3-component.json","True","True","True"
"SGD-114E-v1.0.4","SGD-114E","Multi-Test-Path Invocation Fix","1.0.4","implemented","config\governance\SGD-114E-v1.0.4-component.json","True","True","True"
"SGD-114E-v1.0.5","SGD-114E","Backward Compatibility Result Model","1.0.5","implemented","config\governance\SGD-114E-v1.0.5-component.json","True","True","True"
"SGD-114E-v1.0.6","SGD-114E","Definitive Contract Restoration","1.0.6","implemented","config\governance\SGD-114E-v1.0.6-component.json","True","True","True"
"SGD-114E-v1.0.7","SGD-114E","Definitive Prevalidated Contract Closure","1.0.7","implemented","config\governance\SGD-114E-v1.0.7-component.json","True","True","True"
"SGD-114E-v2.0.0","SGD-114E","Definitive Native Ecosystem Validator","2.0.0","implemented","config\governance\SGD-114E-v2.0.0-component.json","True","True","True"
"SGD-114E-v2.0.0-R1","SGD-114E","Canonical Contract Closure","2.0.0-R1","implemented","config\governance\SGD-114E-v2.0.0-R1-component.json","True","True","True"
"SGD-114E-v2.0.0-R2.1","SGD-114E","Self Validation Closure","2.0.0-R2.1","implemented","config\governance\SGD-114E-v2.0.0-R2.1-component.json","True","True","True"
"SGD-114F","SGD-114F","Institutional Test Evidence Synchronizer","1.0.0","implemented","config\governance\SGD-114F-component.json","True","True","True"
"SGD-114G-v1.0.0","SGD-114G","Institutional Release Management Service","1.0.0","implemented","config\governance\SGD-114G-v1.0.0-component.json","True","True","True"
"SGD-114G-v1.0.1","SGD-114G","Legacy Manifest Migration and Canonical Closure","1.0.1","implemented","config\governance\SGD-114G-v1.0.1-component.json","True","True","True"
"SGD-114-policy-auditor","SGD-114-POLICY-AUDITOR","SGD-114 Policy Auditor","1.0.0","implemented","config\governance\SGD-114-policy-auditor-component.json","True","True","True"
"SGD-114-v2","SGD-114-V2","SGD-114-v2","2.0.0","institutionally_closed","config\governance\SGD-114-v2-component.json","True","True","True"
"SGD-115","SGD-115","Sistema Maestro de Documentación del Proyecto","1.0.0","technically_completed","config\governance\SGD-115-component.json","True","True","True"
"SGD-115A","SGD-115A","Documentation Canonical Component Resolver","1.0.0","implemented","config\documentation\SGD-115A-component.json","True","True","True"
"SGD-116","SGD-116","Roadmap Maestro Vivo del Ecosistema SGODA-PUINAVE","1.0.0","technically_completed","config\roadmap\SGD-116-component.json","True","True","True"
"SGD-116B","SGD-116B","Correctivo Institucional Único del Roadmap Maestro Vivo","2.0.0","technically_completed","config\roadmap\SGD-116B-component.json","True","True","True"
"SGD-117","SGD-117","Institutional Repository Manager","1.0.0","implemented_tested_and_officially_closed","config\governance\SGD-117-component.json","True","True","True"
"SIB-001","SIB-001","SGODA Installer Builder","0.1.0","technically_completed","config\installer_builder\SIB-001-component.json","True","True","True"
"SPB-007","SPB-007","SPB-007","1.0.0","technically_completed","config\repository\SPB-007-component.json","True","True","True"
