"record_id","lexical_id","instance_id","native_language_name","native_language_code","native_word","native_pronunciation","primary_aux_language_name","primary_aux_language_code","primary_translation","source_native_audio","source_filename_valid","expected_native_wav","expected_native_mp3","expected_auxiliary_mp3","batch_id","batch_position","batch_size","drive_provider","drive_root","drive_wav_relative_path","drive_mp3_relative_path","wav_exists","mp3_exists","wav_size_bytes","mp3_size_bytes","wav_sha256","mp3_sha256","expected_sample_rate_hz","expected_bit_depth","expected_channels","missing_resources","filename_valid","drive_validation_status","audio_qc_status","production_status","generated_at"
"000001","PU-000001","SGODA-PUINAVE","Puinave","pu","AMDA","(´amda)","Español","es","Huérfana","PU-000001_pu.mp3","True","PU-000001_pu.wav","PU-000001_pu.mp3","PU-000001_es.mp3;PU-000001_en.mp3;PU-000001_it.mp3;PU-000001_pt.mp3","LOTE-001","1","20","google_drive","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS","WAV\PU-000001_pu.wav","MP3\PU-000001_pu.mp3","True","True","72032","8301","9AA7EE6B28E80507D2109B56C1694786D91766BE5D6CE002148E96E86E2B9871","C9C8112D1CE0597894A0620C5C8FC25EC2DD0C0238CE775BBE6EF6FCED60390C","48000","24","1","","True","PASS","PENDING","EXPORTED","2026-08-16T10:38:56-05:00"
"000002","PU-000002","SGODA-PUINAVE","Puinave","pu","AMJURE","(´amjure)","Español","es","Abejar, enjambre","PU-000002_pu.mp3","True","PU-000002_pu.wav","PU-000002_pu.mp3","PU-000002_es.mp3;PU-000002_en.mp3;PU-000002_it.mp3;PU-000002_pt.mp3","LOTE-001","2","20","google_drive","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS","WAV\PU-000002_pu.wav","MP3\PU-000002_pu.mp3","True","True","100454","10413","BF07AB0FC7B2CBDF1DA720A9E453619801BAA9B847F224A0A3EA3631BE822BAF","E2DCC22158D587863793C82747EC19DF1AF357BA06EE01C4D1104E422BA748FC","48000","24","1","","True","PASS","PENDING","EXPORTED","2026-08-16T10:38:56-05:00"
"000003","PU-000003","SGODA-PUINAVE","Puinave","pu","AMPOG","(ampoc)","Español","es","Miel de abeja","PU-000003_pu.mp3","True","PU-000003_pu.wav","PU-000003_pu.mp3","PU-000003_es.mp3;PU-000003_en.mp3;PU-000003_it.mp3;PU-000003_pt.mp3","LOTE-001","3","20","google_drive","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS","WAV\PU-000003_pu.wav","MP3\PU-000003_pu.mp3","True","True","67018","7390","8ACA07CF15553705AC8427648A178BC957114DAD0A3DA28786958FBD2ACC1128","70100CCF2404061B4AE3637F57771153DEB288D0B3C66236370F8D17883DB4FD","48000","24","1","","True","PASS","PENDING","EXPORTED","2026-08-16T10:38:56-05:00"
"000004","PU-000004","SGODA-PUINAVE","Puinave","pu","ANA","(ána)","Español","es","Abuela","PU-000004_pu.mp3","True","PU-000004_pu.wav","PU-000004_pu.mp3","PU-000004_es.mp3;PU-000004_en.mp3;PU-000004_it.mp3;PU-000004_pt.mp3","LOTE-001","4","20","google_drive","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS","WAV\PU-000004_pu.wav","MP3\PU-000004_pu.mp3","True","True","83734","10653","EB98087A6B8E62CBD31DCF911B44143D535C995D7AD798DB6B4DB19736A42B7F","E7C074A5F5C7D49C02804F1BC923AE62F2EADDAD0B4C41D2203B5F554D6C37FC","48000","24","1","","True","PASS","PENDING","EXPORTED","2026-08-16T10:38:56-05:00"
"000005","PU-000005","SGODA-PUINAVE","Puinave","pu","ANDAM","(andam)","Español","es","Casabe recien hecho","PU-000005_pu.mp3","True","PU-000005_pu.wav","PU-000005_pu.mp3","PU-000005_es.mp3;PU-000005_en.mp3;PU-000005_it.mp3;PU-000005_pt.mp3","LOTE-001","5","20","google_drive","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS","WAV\PU-000005_pu.wav","MP3\PU-000005_pu.mp3","True","True","75376","9262","3A118A8590AC60FF90938C6EC89C2EF8474C7894E344C994D4CDF03BD20F5D72","7F7538062CFD09DF07EBF6610F7047DDBBD141266C9075C6BF22CAB036D1D3D7","48000","24","1","","True","PASS","PENDING","EXPORTED","2026-08-16T10:38:56-05:00"
"000006","PU-000006","SGODA-PUINAVE","Puinave","pu","ANSIJUM","(ansijú)","Español","es","Casabe mojoso","PU-000006_pu.mp3","True","PU-000006_pu.wav","PU-000006_pu.mp3","PU-000006_es.mp3;PU-000006_en.mp3;PU-000006_it.mp3;PU-000006_pt.mp3","LOTE-001","6","20","google_drive","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS","WAV\PU-000006_pu.wav","MP3\PU-000006_pu.mp3","True","True","100450","10701","871ABE3E6216D718067D8C27861E47C483DE1303CCA5A3F6B296E3F44056D524","5DB0707EDBE6FAF9000097B497FAFA415574C54A557C79D227B1CEE776A89622","48000","24","1","","True","PASS","PENDING","EXPORTED","2026-08-16T10:38:56-05:00"
"000007","PU-000007","SGODA-PUINAVE","Puinave","pu","ASI","(asi)","Español","es","Voy a","PU-000007_pu.mp3","True","PU-000007_pu.wav","PU-000007_pu.mp3","PU-000007_es.mp3;PU-000007_en.mp3;PU-000007_it.mp3;PU-000007_pt.mp3","LOTE-001","7","20","google_drive","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS","WAV\PU-000007_pu.wav","MP3\PU-000007_pu.mp3","True","True","93764","9789","0EB0E63DD037F7149C17434CDA7B7106D94F82CF687A8DF1684A01654602DB0E","7B28C7AAAA49FD811A2AA92B1442C37DD25AF208B6F54D293563BE8D0C31707D","48000","24","1","","True","PASS","PENDING","EXPORTED","2026-08-16T10:38:56-05:00"
"000008","PU-000008","SGODA-PUINAVE","Puinave","pu","ASINUG","(asinúc)","Español","es","Voy a ir","PU-000008_pu.mp3","True","PU-000008_pu.wav","PU-000008_pu.mp3","PU-000008_es.mp3;PU-000008_en.mp3;PU-000008_it.mp3;PU-000008_pt.mp3","LOTE-001","8","20","google_drive","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS","WAV\PU-000008_pu.wav","MP3\PU-000008_pu.mp3","True","True","97110","10750","9391659D3842B4C372C8CC1B6454C8738F9162D01CD3E45A6E231CCF51160F93","AFAE3D68F0BFD1F4642132867FFC6A122BBECB48E03D0BAE30CE8261D94E4A30","48000","24","1","","True","PASS","PENDING","EXPORTED","2026-08-16T10:38:56-05:00"
"000009","PU-000009","SGODA-PUINAVE","Puinave","pu","ASIBOG","(asibog)","Español","es","Voy a caminar","PU-000009_pu.mp3","True","PU-000009_pu.wav","PU-000009_pu.mp3","PU-000009_es.mp3;PU-000009_en.mp3;PU-000009_it.mp3;PU-000009_pt.mp3","LOTE-001","9","20","google_drive","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS","WAV\PU-000009_pu.wav","MP3\PU-000009_pu.mp3","True","True","97108","11157","52715816EA2FADEC68BBB025C21BFDF9397ED8CF123E3E698BCE2AD95D296085","C68BEBE93F64580AE1774625197DA5937321467AE784BF29F380B1D0615F010A","48000","24","1","","True","PASS","PENDING","EXPORTED","2026-08-16T10:38:56-05:00"
"000010","PU-000010","SGODA-PUINAVE","Puinave","pu","ASIQUIG","(asiquig)","Español","es","Voy a llorar","PU-000010_pu.mp3","True","PU-000010_pu.wav","PU-000010_pu.mp3","PU-000010_es.mp3;PU-000010_en.mp3;PU-000010_it.mp3;PU-000010_pt.mp3","LOTE-001","10","20","google_drive","G:\Mi unidad\SGODA-PUINAVE\AUDIOS\PRUEBA_20_PALABRAS","WAV\PU-000010_pu.wav","MP3\PU-000010_pu.mp3","True","True","100454","11470","A0F9180F77631A4764817D4AFA829990F2A94A32F792FEA05161B2B65C04D7D3","1F255D8E89640D479DBC90A3E737811EF9C775E32577FB226EE131E3A43A0546","48000","24","1","","True","PASS","PENDING","EXPORTED","2026-08-16T10:38:56-05:00"
