"position","batch_number","batch_id","raw_id","normalized_id","lexical_id","id_generated","id_error","duplicate_id","native_word","native_pronunciation","native_audio_source","primary_translation","expected_wav","expected_mp3","wav_exists","mp3_exists","wav_size_bytes","mp3_size_bytes","wav_sha256","mp3_sha256","record_status"
"1","1","LOTE-0001","000001","000001","PU-000001","False","","False","AMDA","(´amda)","PU-000001_pu.mp3","Huérfana","PU-000001_pu.wav","PU-000001_pu.mp3","True","True","72032","8301","9AA7EE6B28E80507D2109B56C1694786D91766BE5D6CE002148E96E86E2B9871","C9C8112D1CE0597894A0620C5C8FC25EC2DD0C0238CE775BBE6EF6FCED60390C","READY"
"2","1","LOTE-0001","000002","000002","PU-000002","False","","False","AMJURE","(´amjure)","PU-000002_pu.mp3","Abejar, enjambre","PU-000002_pu.wav","PU-000002_pu.mp3","True","True","100454","10413","BF07AB0FC7B2CBDF1DA720A9E453619801BAA9B847F224A0A3EA3631BE822BAF","E2DCC22158D587863793C82747EC19DF1AF357BA06EE01C4D1104E422BA748FC","READY"
"3","1","LOTE-0001","000003","000003","PU-000003","False","","False","AMPOG","(ampoc)","PU-000003_pu.mp3","Miel de abeja","PU-000003_pu.wav","PU-000003_pu.mp3","True","True","67018","7390","8ACA07CF15553705AC8427648A178BC957114DAD0A3DA28786958FBD2ACC1128","70100CCF2404061B4AE3637F57771153DEB288D0B3C66236370F8D17883DB4FD","READY"
"4","1","LOTE-0001","000004","000004","PU-000004","False","","False","ANA","(ána)","PU-000004_pu.mp3","Abuela","PU-000004_pu.wav","PU-000004_pu.mp3","True","True","83734","10653","EB98087A6B8E62CBD31DCF911B44143D535C995D7AD798DB6B4DB19736A42B7F","E7C074A5F5C7D49C02804F1BC923AE62F2EADDAD0B4C41D2203B5F554D6C37FC","READY"
"5","1","LOTE-0001","000005","000005","PU-000005","False","","False","ANDAM","(andam)","PU-000005_pu.mp3","Casabe recien hecho","PU-000005_pu.wav","PU-000005_pu.mp3","True","True","75376","9262","3A118A8590AC60FF90938C6EC89C2EF8474C7894E344C994D4CDF03BD20F5D72","7F7538062CFD09DF07EBF6610F7047DDBBD141266C9075C6BF22CAB036D1D3D7","READY"
"6","1","LOTE-0001","000006","000006","PU-000006","False","","False","ANSIJUM","(ansijú)","PU-000006_pu.mp3","Casabe mojoso","PU-000006_pu.wav","PU-000006_pu.mp3","True","True","100450","10701","871ABE3E6216D718067D8C27861E47C483DE1303CCA5A3F6B296E3F44056D524","5DB0707EDBE6FAF9000097B497FAFA415574C54A557C79D227B1CEE776A89622","READY"
"7","1","LOTE-0001","000007","000007","PU-000007","False","","False","ASI","(asi)","PU-000007_pu.mp3","Voy a","PU-000007_pu.wav","PU-000007_pu.mp3","True","True","93764","9789","0EB0E63DD037F7149C17434CDA7B7106D94F82CF687A8DF1684A01654602DB0E","7B28C7AAAA49FD811A2AA92B1442C37DD25AF208B6F54D293563BE8D0C31707D","READY"
"8","1","LOTE-0001","000008","000008","PU-000008","False","","False","ASINUG","(asinúc)","PU-000008_pu.mp3","Voy a ir","PU-000008_pu.wav","PU-000008_pu.mp3","True","True","97110","10750","9391659D3842B4C372C8CC1B6454C8738F9162D01CD3E45A6E231CCF51160F93","AFAE3D68F0BFD1F4642132867FFC6A122BBECB48E03D0BAE30CE8261D94E4A30","READY"
"9","1","LOTE-0001","000009","000009","PU-000009","False","","False","ASIBOG","(asibog)","PU-000009_pu.mp3","Voy a caminar","PU-000009_pu.wav","PU-000009_pu.mp3","True","True","97108","11157","52715816EA2FADEC68BBB025C21BFDF9397ED8CF123E3E698BCE2AD95D296085","C68BEBE93F64580AE1774625197DA5937321467AE784BF29F380B1D0615F010A","READY"
"10","1","LOTE-0001","000010","000010","PU-000010","False","","False","ASIQUIG","(asiquig)","PU-000010_pu.mp3","Voy a llorar","PU-000010_pu.wav","PU-000010_pu.mp3","True","True","100454","11470","A0F9180F77631A4764817D4AFA829990F2A94A32F792FEA05161B2B65C04D7D3","1F255D8E89640D479DBC90A3E737811EF9C775E32577FB226EE131E3A43A0546","READY"
"11","1","LOTE-0001","000011","000011","PU-000011","False","","False","ASURINA","(asurína)","PU-000011_pu.mp3","Gasolina","PU-000011_pu.wav","PU-000011_pu.mp3","True","True","113834","12288","8EAF983A1CF438A09A96E18F25C91EB3D6DDDA6E1E855FFA52783884C5F75CB1","2E823ABF85AAA25BCA4DDF394AFFA2D36EA85FE471F61D9036AB0649B37AE1B2","READY"
"12","1","LOTE-0001","000012","000012","PU-000012","False","","False","AT","(át)","PU-000012_pu.mp3","Me","PU-000012_pu.wav","PU-000012_pu.mp3","True","True","50300","7487","E708A491C4DBA4F8240193C354870B1D0670C3B9B7586459F083549CC6BB1D67","71FA2A0904A53BA617B54224975854F600315E95E42BA596E02C1616817284B6","READY"
"13","1","LOTE-0001","000013","000013","PU-000013","False","","False","ATCUI","(atcuí)","PU-000013_pu.mp3","Me mandan","PU-000013_pu.wav","PU-000013_pu.mp3","True","True","97112","10007","E2C67BC347DC2ACB2321C5F136EB8859783BCB655BC547A6D450965FDFE7339E","BF6FA7803371DB787387114A6183F365361BC212F61A1E7A752201B02DB19E41","READY"
"14","1","LOTE-0001","000014","000014","PU-000014","False","","False","AUÑUN","(auñún)","PU-000014_pu.mp3","Avión","PU-000014_pu.wav","PU-000014_pu.mp3","True","True","95438","9215","63E2BD287982926667218A4BE5046CF1FE9F4ACFD8A7014771231A7C98EC5F2B","7644470459D42C1E0033BCB552FBAFDA946FFD12D5EF7068E12B9258AF294DA3","READY"
